id,input_text,stage_a_predictions,stage_b_predictions,route_to_stage_c,accepted_predictions,stage_c_route_reason,stage_b_probabilities
627,"Strong winds to disrupt port operations across South Africa until December 23 Shipping sources indicate on December 21 that severe weather is likely to impact operations at container terminals in South Africa between November December 19 and 23, in particular in the Port of Durban, the Port of Coega and the Port of Cape Town. As a result, productivity is likely to be reuced and incoming vessels may be delayed.","[""weather_disruption"", ""port_operational_disruption""]","[""weather_disruption"", ""port_operational_disruption""]",False,"[""weather_disruption"", ""port_operational_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.941406, ""natural_disaster"": 0.004675, ""port_operational_disruption"": 0.925451, ""port_closure"": 0.362437, ""labor_strike_disruption"": 0.031996, ""maritime_security_navigation_disruption"": 0.178652}"
5031,Cargo vessel skips Port Klang for schedule recovery Intelligence received by Everstream Analytics indicated on December 2 that PS3 Service Vessel ONE COMPETENCE 0076E was due to arrive at Port of Nhava Sheva on December 11 and at Port of Pipava in India on December 14. The vessel is expected to skip Port Klang in Malaysia for schedule recovery.,"[""port_operational_disruption""]","[""port_operational_disruption"", ""maritime_security_navigation_disruption""]",True,[],predictions_disagree,"{""weather_disruption"": 0.071042, ""natural_disaster"": 0.004309, ""port_operational_disruption"": 0.803317, ""port_closure"": 0.138173, ""labor_strike_disruption"": 0.035286, ""maritime_security_navigation_disruption"": 0.899246}"
5211,"In Mongla, Bagerhat, Bangladesh Coast Guard personnel seized a trawler and In Mongla, Bagerhat, Bangladesh Coast Guard personnel seized a trawler and arrested 16 Indian fishermen from Fairway Boya in the Bay of Bengal for fishing illegally in its waters.",[],"[""maritime_security_navigation_disruption""]",False,"[""maritime_security_navigation_disruption""]",stage_a_empty_stage_b_confident,"{""weather_disruption"": 0.160175, ""natural_disaster"": 0.018621, ""port_operational_disruption"": 0.185941, ""port_closure"": 0.018052, ""labor_strike_disruption"": 0.057176, ""maritime_security_navigation_disruption"": 0.923127}"
2901,"UPDATE: Situation at Port of Ningbo back to normal following congestion Updated sources on August 22 indicate that the situation at Ningbo Port has been back to normal. Previously, sources reported that XiaZhi channel leading into the Port of Ningbo-Zhoushan has been closed on August 22 for about 5 hours, due to the congestion of fishing boats with average waiting times for vessels calling at the port reported 10 hours.","[""port_operational_disruption""]","[""weather_disruption"", ""port_operational_disruption"", ""port_closure""]",True,[],predictions_disagree,"{""weather_disruption"": 0.696259, ""natural_disaster"": 0.009824, ""port_operational_disruption"": 0.735178, ""port_closure"": 0.907565, ""labor_strike_disruption"": 0.011944, ""maritime_security_navigation_disruption"": 0.157741}"
3190,"Authorities allowed ships loaded with cargo to berth Industry sources reported that Kuwait’s Ministry of Health recommends allowing ships carrying goods from the Republic of Korea, Italy, Thailand, Singapore, Japan, China and Hong Kong to berth. The circular was released on February 26 and the emphasis remains on prohibiting direct contact with the crew and preventing them from disembarking from the ship for two weeks from the date of their departure from the affected ports.",[],"[""port_operational_disruption"", ""maritime_security_navigation_disruption""]",False,"[""port_operational_disruption"", ""maritime_security_navigation_disruption""]",stage_a_empty_stage_b_confident,"{""weather_disruption"": 0.035066, ""natural_disaster"": 0.002537, ""port_operational_disruption"": 0.804927, ""port_closure"": 0.143153, ""labor_strike_disruption"": 0.077034, ""maritime_security_navigation_disruption"": 0.870106}"
847,"UPDATE: Delays reported in the Port of Rotterdam due to bad weather effects On December 10, updated reports suggest that knock-on effects from adverse weather in the Port of Rotterdam on the past weekend have caused a pilot and tug boat shortages as well as heavy incoming ship traffic. As a result, vessels have been delayed at berth as well as on departure times. Customers should plan shipments and use contingency measures accordingly.","[""weather_disruption"", ""port_operational_disruption""]","[""weather_disruption"", ""port_operational_disruption""]",False,"[""weather_disruption"", ""port_operational_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.503052, ""natural_disaster"": 0.007881, ""port_operational_disruption"": 0.948739, ""port_closure"": 0.114729, ""labor_strike_disruption"": 0.091453, ""maritime_security_navigation_disruption"": 0.075342}"
1298,"Cargo ship drags anchor during typhoon, colliding with bridge in Yokohama Sources indicate that on September 9 at 03:10 local time, the cargo ship """"Bungo Princess"""" (IMO 9496654) dragged its anchor and collided with the harbor road bridge in Yokohama under typhoon conditions. Damages to the vessel are not known. The vessel was able to navigate under its own power away from the area.","[""weather_disruption""]","[""weather_disruption"", ""port_operational_disruption""]",True,[],predictions_disagree,"{""weather_disruption"": 0.515925, ""natural_disaster"": 0.088205, ""port_operational_disruption"": 0.570755, ""port_closure"": 0.185426, ""labor_strike_disruption"": 0.023858, ""maritime_security_navigation_disruption"": 0.511433}"
554,"Severe winds impact operations at Pier 1 Container Terminal, Port of Durban Industry sources indicated that Pier 1 Container Terminal at the Port of Duran has experienced a temporary suspension due to severe winds for its waterside and landside operations at 16:25 (local time) on September 12. It remains unclear when the operations will resume.","[""weather_disruption"", ""port_operational_disruption""]","[""weather_disruption"", ""port_operational_disruption""]",False,"[""weather_disruption"", ""port_operational_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.974142, ""natural_disaster"": 0.013071, ""port_operational_disruption"": 0.945936, ""port_closure"": 0.619994, ""labor_strike_disruption"": 0.020586, ""maritime_security_navigation_disruption"": 0.073422}"
529,"Rua Jo o Negr o & Rua Alfredo Bufren   Striking teachers left after protesting. Incident closed. Media sources reported that up to 2,500 teachers held a protest at Pra a Santos Andrade, located at Rua Jo o Negr o and Rua Alfredo Bufren. Teachers have since dispersed after demonstrating. Local news outlets indicated that multiple roads were closed. The demonstration was called to support an ongoing teachers  strike, and to commemorate the 30th anniversary of a teachers  strike that was held in 1988. Expect possible residual protest-related disruptions. This incident is closed.","[""labor_strike_disruption""]","[""labor_strike_disruption""]",False,"[""labor_strike_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.016651, ""natural_disaster"": 0.280726, ""port_operational_disruption"": 0.007601, ""port_closure"": 0.012916, ""labor_strike_disruption"": 0.995979, ""maritime_security_navigation_disruption"": 0.0257}"
3471,"Extreme morning traffic congestion near Port of Genoa disrupting operations Sources indicate that extensive roadway construction on the Autostradale to the north and west of the Port of Genoa has resulted in extreme traffic congestion and port disruptions in the mornings and some late evenings. Reports suggest that the construction, which is scheduled to run from 22:00 to 06:00, is sometimes running over schedule into the mornings. Resulting from traffic congestion, some reports indicate that police have been able to assist the port such that approximately 5 trucks per 5 minutes are able to leave the area, but this support has been inconsistent. At times, port gates have reportedly been completely blocked. Supply chain managers should anticipate significant cargo transportation disruptions entering and exiting the port during the morning and late evening times as a result.","[""port_operational_disruption""]","[""port_operational_disruption""]",False,"[""port_operational_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.159096, ""natural_disaster"": 0.015836, ""port_operational_disruption"": 0.886367, ""port_closure"": 0.374417, ""labor_strike_disruption"": 0.27166, ""maritime_security_navigation_disruption"": 0.104591}"
3151,Adverse weather disrupts cargo movements in Valencia area Shipping sources on January 20 indicate that heavy rainfall and flooding has impacted ground transportation movements in the greater Valencia area. Many roads remain blocked and shipment delays should be anticipated.,"[""weather_disruption""]","[""weather_disruption"", ""port_operational_disruption""]",True,[],predictions_disagree,"{""weather_disruption"": 0.931018, ""natural_disaster"": 0.037737, ""port_operational_disruption"": 0.777972, ""port_closure"": 0.066993, ""labor_strike_disruption"": 0.099985, ""maritime_security_navigation_disruption"": 0.040838}"
4572,"UPDATE 1 - Terminal congestion reported at Port of Busan following Tropical Storm Jangmi Updated shipping sources indicated on August 13 that the Port of Busan terminal is experiencing congestion due to Tropical Storm Jangmi, which closed the port from August 10 00:01 to August 10 19:00 local time. Pilotage resumed on August 11 00:01 local time.","[""weather_disruption"", ""port_operational_disruption""]","[""weather_disruption"", ""port_operational_disruption"", ""port_closure""]",True,[],predictions_disagree,"{""weather_disruption"": 0.787384, ""natural_disaster"": 0.006473, ""port_operational_disruption"": 0.629207, ""port_closure"": 0.816404, ""labor_strike_disruption"": 0.026419, ""maritime_security_navigation_disruption"": 0.101349}"
3966,"Port of Kandla hoists Signal No. 1 ahead of cyclonic storm According to industry sources, all ports along the coast from Gujarat including the Port of Kandla (Gujarat), Jawaharlal Nehru Port Trust, Mumbai Port in Maharashtra and Mormugao Port in Goa have hoisted Distant Cautionary Signal No. 1 (DC-I) ahead of a cyclonic storm in the Arabian Sea.",[],"[""weather_disruption""]",False,"[""weather_disruption""]",stage_a_empty_stage_b_confident,"{""weather_disruption"": 0.870365, ""natural_disaster"": 0.013476, ""port_operational_disruption"": 0.369806, ""port_closure"": 0.166298, ""labor_strike_disruption"": 0.012222, ""maritime_security_navigation_disruption"": 0.454245}"
2920,"Update: Tropical Storm Warning in effect for South Carolina Updated sources indicate that the Hurricane Warning from Savannah River to south of Edisto Beach, South Carolina has been changed to a Tropical Storm Warning. A Tropical Storm Warning means that tropical storm conditions are expected within the warning area within 36 hours.","[""weather_disruption""]","[""weather_disruption""]",False,"[""weather_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.983281, ""natural_disaster"": 0.053873, ""port_operational_disruption"": 0.126995, ""port_closure"": 0.057584, ""labor_strike_disruption"": 0.008777, ""maritime_security_navigation_disruption"": 0.050667}"
391,"Mexico: Tropical Storm Xavier forms off coastline of Colima State The National Hurricane Center is monitoring Tropical Storm Xavier off the western coastline of Colima State on Saturday, 3 November. The storm is not expected to make landfall at this time and is forecast to move in a northwest direction early next week; however, some rainfall may be experienced near the coastal areas of Colima and Jalisco states. Currently, the system is located about 600 kilometers southwest of Manzanillo, with wind speeds up to 75 kmh and moving east-northeast at 11 kmh. There are no weather warnings in effect this morning. Clients are advised to monitor weather reports for the latest information. Amend itineraries as necessary if the storm's path changes.","[""weather_disruption""]","[""weather_disruption""]",False,"[""weather_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.91878, ""natural_disaster"": 0.144346, ""port_operational_disruption"": 0.058662, ""port_closure"": 0.025848, ""labor_strike_disruption"": 0.032996, ""maritime_security_navigation_disruption"": 0.139567}"
3642,Houston Ship Channel closes for four hours due to salvage operations Industry sources indicate that the Houston Ship Channel will be closed between 08:00 and 12:00 local time on January 24 due to salvage operations from Galveston Bay Entrance Channel lighted buoys 9 and 10 out to Galveston North and South Jetty lights 5A and 6A.,"[""maritime_security_navigation_disruption""]","[""weather_disruption"", ""maritime_security_navigation_disruption""]",True,[],predictions_disagree,"{""weather_disruption"": 0.811496, ""natural_disaster"": 0.02603, ""port_operational_disruption"": 0.154429, ""port_closure"": 0.483582, ""labor_strike_disruption"": 0.039158, ""maritime_security_navigation_disruption"": 0.844792}"
3910,Pipeline removal to cause mild disruption in Houston VTS Channel Industry sources indicate on July 15 that removal of a submerged dredge pipeline between LT Buoy 102A to LT Buoy 103 below Fred Hartman La Port will result in mild maritime disruptions in the vicinity at the Port of Houston.,[],"[""weather_disruption"", ""port_operational_disruption"", ""maritime_security_navigation_disruption""]",False,"[""weather_disruption"", ""port_operational_disruption"", ""maritime_security_navigation_disruption""]",stage_a_empty_stage_b_confident,"{""weather_disruption"": 0.636089, ""natural_disaster"": 0.130188, ""port_operational_disruption"": 0.559582, ""port_closure"": 0.063463, ""labor_strike_disruption"": 0.071843, ""maritime_security_navigation_disruption"": 0.802751}"
4809,"UPDATE 7 - Average waiting times at the Port of Jakarta continue to stand at 2 days Updated shipping sources indicate on May 20 that waiting times at the Port of Jakarta, Indonesia, continue to stand at 2 days. There was no change from the previous weeks.","[""port_operational_disruption""]","[""port_operational_disruption""]",False,"[""port_operational_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.145749, ""natural_disaster"": 0.007695, ""port_operational_disruption"": 0.94259, ""port_closure"": 0.060372, ""labor_strike_disruption"": 0.056719, ""maritime_security_navigation_disruption"": 0.08524}"
5445,"Strict customs inspections cause customs delays at Port of Xiamen Shipping sources report on December 10 that strict customs inspections and disinfection requirements for reefers imports to Port of Xiamen have caused customs delays. As a result, inbound reefer container pick-up activity at the Ports of Xiamen in southern China has been slow and is facing congestion. International shipping lanes like Ocean Network Express have stopped accepting bookings of all reefer booking commodities bound for Xiamen effectively from December 9.","[""port_operational_disruption""]","[""port_operational_disruption""]",False,"[""port_operational_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.081379, ""natural_disaster"": 0.003577, ""port_operational_disruption"": 0.964107, ""port_closure"": 0.216782, ""labor_strike_disruption"": 0.047016, ""maritime_security_navigation_disruption"": 0.385879}"
4345,"U.S. chicken shipments bound for China rerouted due to coronavirus Media sources indicate on February 14 that ships carrying refrigerated cargo containers of U.S. chicken shipments bound for China are being diverted to ports in Hong Kong, South Korea, Taiwan and Vietnam due to the coronavirus outbreak. Chinese ports have reportedly run out of space for refrigerated containers and must be plugged into electrical outlets once they are offloaded to keep frozen meat and other food products cold.",[],"[""port_operational_disruption""]",False,"[""port_operational_disruption""]",stage_a_empty_stage_b_confident,"{""weather_disruption"": 0.221009, ""natural_disaster"": 0.003424, ""port_operational_disruption"": 0.599225, ""port_closure"": 0.297092, ""labor_strike_disruption"": 0.034319, ""maritime_security_navigation_disruption"": 0.501137}"
3666,"Inbound river vessel traffic to and from Port of Hamburg suspended due to Storm Ciara Shipping sources report that the inbound river to and from the Port of Hamburg has been closed since 07:00 local time on February 9 for vessels longer than 330 meters. This ban could be extended until Wednesday, February 12. Terminal operations are reportedly working.","[""maritime_security_navigation_disruption""]","[""weather_disruption"", ""port_closure"", ""maritime_security_navigation_disruption""]",True,[],predictions_disagree,"{""weather_disruption"": 0.763645, ""natural_disaster"": 0.005441, ""port_operational_disruption"": 0.312976, ""port_closure"": 0.851788, ""labor_strike_disruption"": 0.083835, ""maritime_security_navigation_disruption"": 0.670112}"
5405,Reports of strike action at Civil Hospital in Karachi Unconfirmed reports have stated that the 'Young Doctors of Civil Hospital' are striking at the hospital in Karachi today. They are doing so against the hospital administration and disruption has been noted to services provided to patients. Further details have not been disclosed at this time.,"[""labor_strike_disruption""]","[""labor_strike_disruption""]",False,"[""labor_strike_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.004419, ""natural_disaster"": 0.099897, ""port_operational_disruption"": 0.011218, ""port_closure"": 0.003672, ""labor_strike_disruption"": 0.994283, ""maritime_security_navigation_disruption"": 0.150785}"
792,"UPDATE - USA, California: State of Emergency declared for portions of Ventura and Los Angeles counties impacted by wildfires Acting Governor Newsom has declared a State of Emergency for portions Ventura and Los Angeles counties on Friday, 9 November, due to the growing Woolsey and Hill wildfires. This will direct further resources to the impacted localities to aid in the firefighting operations. Evacuation orders remain in effect for residents north and south of the Ventura Freeway, between Camarillo, Calabasas, and Malibu. Notable congestion continues to be recorded near the Ventura Freeway and the Pacific Coast Highway as closures are in place, authorities are directing traffic, and evacuations are ongoing. A Red Flag Warning is in place through Friday evening across Ventura and Los Angeles counties, with dry conditions and wind gusts making firefighting efforts challenging. Clients are advised to avoid all impacted areas and terrain, as the fires remain uncontained and hazardous. Refer to official and media sources for the latest information on the situation. Adhere to all instructions issued by local authorities.","[""port_operational_disruption""]","[""weather_disruption""]",True,[],predictions_disagree,"{""weather_disruption"": 0.91918, ""natural_disaster"": 0.050481, ""port_operational_disruption"": 0.026506, ""port_closure"": 0.059141, ""labor_strike_disruption"": 0.165936, ""maritime_security_navigation_disruption"": 0.108644}"
2200,"Severe wind warning issued across country A severe wind warning is in effect across Malta until 23:59 local time on Monday 23 December. Gusts of up to 75 kilometres per hour are anticipated in Valletta and other areas. There could be delays to public transport, power cuts and damage to properties.","[""weather_disruption""]","[""weather_disruption""]",False,"[""weather_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.986012, ""natural_disaster"": 0.132002, ""port_operational_disruption"": 0.10819, ""port_closure"": 0.077266, ""labor_strike_disruption"": 0.040413, ""maritime_security_navigation_disruption"": 0.048341}"
2045,Port of Charleston - The port has resumed normal operations. Incident closed. The Port of Charleston has resumed normal operations following the passage of Hurricane Dorian. This incident is closed.,"[""weather_disruption""]","[""weather_disruption"", ""port_closure"", ""maritime_security_navigation_disruption""]",True,[],predictions_disagree,"{""weather_disruption"": 0.929594, ""natural_disaster"": 0.014621, ""port_operational_disruption"": 0.328579, ""port_closure"": 0.916987, ""labor_strike_disruption"": 0.015628, ""maritime_security_navigation_disruption"": 0.710512}"
4424,"UPDATE 1 - CORRECTION: Maersk blanks week-22 AC2 service due to COVID-19 An earlier version of this incident was misclassified as a maritime accident. 

Sources indicate that Maersk will blank its week-22 AC2 service due to low demand associated with COVID-19. The service direction affected is not clear. The first port of call affected is understood to be Lazaro Cardenas on May 23. The following ports of call may be affected (in no known order): 

Lazaro Cardenas, Balboa, Buenaventura, Manzanillo, Busan, Qingdao, Shanghai, Kaohsiung, Shekou, Hong Kong, Ningbo, Gwangyang, and Yokohama.","[""maritime_security_navigation_disruption""]","[""maritime_security_navigation_disruption""]",False,"[""maritime_security_navigation_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.144758, ""natural_disaster"": 0.010206, ""port_operational_disruption"": 0.144704, ""port_closure"": 0.159048, ""labor_strike_disruption"": 0.07732, ""maritime_security_navigation_disruption"": 0.948293}"
1587,"Greece - Ferry services were disrupted by inclement weather. Incident closed. Media sources indicated ferry services in Greece were disrupted due to snow, rain, and high winds. Services were suspended from Piraeus, Rafina, and Lavrio as well as between Pahi Megaron and Faneromeni Salaminas, Oropos and Eretria on the island of Evia, Kavala and Prinos, and Kyllini with Zakynthos and Cephalonia. This incident is closed.","[""weather_disruption""]","[""weather_disruption""]",False,"[""weather_disruption""]",stage_a_stage_b_agree,"{""weather_disruption"": 0.928862, ""natural_disaster"": 0.121756, ""port_operational_disruption"": 0.151585, ""port_closure"": 0.702901, ""labor_strike_disruption"": 0.027187, ""maritime_security_navigation_disruption"": 0.284021}"
