dataset_split,row_index,id,inspected_risk,error_type,selection,Headline,Details,Category,Summarized_label,maritime_label,true_risks,stage_a_predictions,risk_score,matched_strong_evidence,matched_supporting_evidence,applied_context_bonuses,prediction_explanation
development,1211,5076,port_operational_disruption,false_negative,complete,Customs seize 421 kilos of cocaine in two containers at the Port of Rotterdam,"Sources indicated on December 2 that Customs at the Port of Rotterdam have intercepted 421 kilos of cocaine in two batches, on December 2. According to sources, the cocaine, with street value of EUR 31 million was hidden in two containers, one from Ecuador and another from the Dominican Republic. The drugs were reportedly hidden between banana puree and medical devices.","Organized Crime, Cargo Disruption",Terrorism,True,"[""port_operational_disruption""]",[],0,[],[],"{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": [""port""]}",rejected: no rule evidence
development,856,4815,port_closure,false_positive,complete,UPDATE 7 - Vessel traffic reopened on January 18 at the Houston Ship Channel,Shipping sources indicate on January 20 that operations have returned to normalcy at the Houston Ship Channel on January 18. Inbound vessel traffic resumed at 07.30 local time while the outbound traffic resumed at 15.30 on the same day. The channel has been intermittently closed since January 13.,Waterway Closure / Disruption,Administrative Issue,False,"[""maritime_security_navigation_disruption""]","[""port_closure""]",4,"[{""rule_id"": ""context_then_close"", ""label"": ""maritime facility closure"", ""match"": ""channel has been intermittently closed"", ""weight"": 3, ""span"": [314, 352]}]",[],"{""text_context"": 1, ""maritime_metadata"": 0, ""context_matches"": [""ship channel"", ""vessel""]}",predicted: score 4 >= 4 with required context satisfied
development,856,4815,maritime_security_navigation_disruption,false_negative,complete,UPDATE 7 - Vessel traffic reopened on January 18 at the Houston Ship Channel,Shipping sources indicate on January 20 that operations have returned to normalcy at the Houston Ship Channel on January 18. Inbound vessel traffic resumed at 07.30 local time while the outbound traffic resumed at 15.30 on the same day. The channel has been intermittently closed since January 13.,Waterway Closure / Disruption,Administrative Issue,False,"[""maritime_security_navigation_disruption""]","[""port_closure""]",0,[],[],"{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": [""vessel""]}",rejected: no rule evidence
development,2872,5360,weather_disruption,false_positive,complete,Port of San Antonio halts operations due to high winds,Shipping sources on October 1 reported that the Port of San Antonio halted operations due to high winds on late September 30. It was not immediately indicated when operations would resume.,Port Closure,Weather,False,"[""port_closure""]","[""weather_disruption"", ""port_closure""]",4,"[{""rule_id"": ""severe_wind"", ""label"": ""severe/strong/high wind"", ""match"": ""high winds"", ""weight"": 3, ""span"": [44, 54]}]","[{""rule_id"": ""wind"", ""label"": ""wind"", ""match"": ""winds"", ""weight"": 1, ""span"": [153, 158]}]","{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": []}",predicted: score 4 >= 3 with required context satisfied
development,564,913,port_operational_disruption,false_positive,complete,UPDATE: Two-day nationwide strike impacting Cochin port; JNPT not impacted,"Updated industry sources on January 9 indicate that a nationwide 48-hour port strike has entered its second day and is set to conclude at 23:59 local time on January 9. Reports indicated that so far operations were impacted at the ports of Kolkata and Cochin, including at the DP World Vallarpadam terminal, which was blocked by truck owners. Jawaharlal Nehru Port Trust (JNPT) — India’s busiest container harbor — was operating normally on January 8, with vessels berthing/sailing on schedule, including at APM Terminals-operated Gateway Terminals India and DP World facilities. The coordinated action was called for by 10 trade unions to protest against the allegedly repressive policies for workers adopted by the federal government. Port workers specifically protest against a draft law of the port sector, which may cause further privatization of the sector.",Port Strike,Worker Strike,True,"[""labor_strike_disruption""]","[""port_operational_disruption"", ""labor_strike_disruption""]",4,"[{""rule_id"": ""operations_disrupted"", ""label"": ""operations disrupted/resumed"", ""match"": ""operations were impacted"", ""weight"": 3, ""span"": [271, 295]}]",[],"{""text_context"": 1, ""maritime_metadata"": 0, ""context_matches"": [""port""]}",predicted: score 4 >= 4 with required context satisfied
development,1747,2801,port_operational_disruption,false_negative,complete,"UPDATE: Customs strike ends with backlog of 6,000 containers at Port of Colombo","Media outlets indicate on February 5 that a customs strike at the Port of Colombo has ended on February 5 after officers called off the strike with more than 6,000 containers stranded in the port area. It was not immediately clear how long the backlog of containers would take to clear after unions said late on Tuesday that the strike had ended. Those shipping at the Port of Colombo should anticipate release delays and should plan accordingly.","Customs Delay,Civil Service Strike,Port Congestion",Worker Strike,True,"[""port_operational_disruption"", ""labor_strike_disruption""]","[""labor_strike_disruption""]",2,[],"[{""rule_id"": ""delay"", ""label"": ""delay"", ""match"": ""delays"", ""weight"": 1, ""span"": [488, 494]}]","{""text_context"": 1, ""maritime_metadata"": 0, ""context_matches"": [""port""]}",rejected: score 2 < 4
development,845,3960,maritime_security_navigation_disruption,false_positive,complete,Port of Houston closed due to dense fog,Shipping sources on January 17 report that the Port of Houston is currently closed due to dense fog in the port area. Reports also indicate that the Houston Ship Channel that provides access to and from the port has been intermittently closed since January 13.,Port Closure,Weather,False,"[""port_closure""]","[""port_closure"", ""maritime_security_navigation_disruption""]",4,"[{""rule_id"": ""shipping_channel_closure"", ""label"": ""shipping-channel closure"", ""match"": ""ship channel that provides access to and from the port has been intermittently closed"", ""weight"": 3, ""span"": [196, 281]}]",[],"{""text_context"": 1, ""maritime_metadata"": 0, ""context_matches"": [""port""]}",predicted: score 4 >= 4 with required context satisfied
development,1950,4445,maritime_security_navigation_disruption,false_negative,complete,"UPDATE 1 - Grenade explosions in Antwerp likely indicative of drug gang rivalry, increasing security risks in Belgian port areas","On 24 August 2020, unidentified perpetrators threw a hand grenade into a vacant building in Deurne, east Antwerp, with the grenade bouncing back and exploding on the street next to the house of a local drug trafficking gang leader, without causing any casualties. The attack followed two other hand grenade explosions over the weekend in east Antwerp’s Ekstelaar and Borgerhout areas, where a shooting targeting the family home of a drug gang member also took place, not leading to any casualties. Prior to the incidents, the police had seized a shipment of 500kg of cocaine at the port and detained two port employees suspected of having facilitated the trafficking of up to 800kg of cocaine, as part of a separate investigation. In 2019, Belgian authorities had seized a record 62 tonnes of cocaine in total, a 23% increase compared to 2018. The Port of Antwerp is the principal entry point for cocaine in Europe, with the substance mostly being trafficked from Brazil, Colombia and Ecuador.Significance: The increase in frequency of violent attacks between criminal gangs with the deployment of hand grenades in residential areas of Antwerp is likely indicative of intensifying rivalry between groups controlling the trafficking of cocaine into Europe through the Port of Antwerp. The escalation is likely to be linked to changes in the dynamics of drug trafficking gangs, particularly of influential drug cartels in Latin America; their revenues from extortion reduced during lockdowns introduced globally from March in response to the coronavirus disease 2019 (COVID-19) outbreak. While violent attacks between gangs have so far been mostly limited to residential areas in east Antwerp, the escalation increases the likelihood of violent confrontations, including shootings and hand grenade deployment, spreading to port facilities where cargo is handled and the trafficking takes place. An increase in the frequency of checks conducted on containers by Antwerp port authorities as a response to the hand grenade attacks would probably mitigate the risk, resulting in more significant drug seizures and detention of suspected traffickers, acting as a deterrent and disrupting the illegal drug route through the port, although probably only temporarily. However, this would also lead to longer security procedures at the port, likely slowing down the handling of cargo containers. An increase in violent confrontations between criminal gangs in the city of Ghent would be an indicator of similar risks affecting the Port of Ghent, which has also been used by criminal gangs for trafficking drugs from Latin America into Europe.Risks: Criminal violence; Marine; Death and injurySectors or assets affected: All, particularly Marine cargo&copy; 2020, IHS Markit Inc. All rights reserved. Reproduction in whole or in part without permission is prohibited.","Maritime Advisory, Miscellaneous Events, Public Safety / Security",Terrorism,True,"[""maritime_security_navigation_disruption""]",[],0,[],[],"{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": [""port""]}",rejected: no rule evidence
development,2415,3597,maritime_security_navigation_disruption,false_negative,complete,Hapag-Lloyd blanks PS5 34W service due to low demand,"Media sources indicate on July 8 that Hapag-Lloyd suspended its PS5 week 34 service as demand remains at very low levels amid the COVID-19 pandemic. As a result, the following ports of call may be affected:
Westbound: Los Angeles > Busan > Shanghai > Ningbo
Eastbound: Shanghai > Ningbo > Los Angeles",Maritime Advisory,Administrative Issue,False,"[""maritime_security_navigation_disruption""]",[],0,[],[],"{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": []}",rejected: no rule evidence
development,670,1552,labor_strike_disruption,false_negative,complete,France: Cancellations and significant delays reported on the Eurostar between Paris Gare du Nord and London,"Eurostar is reporting that due to French customs 'strikes of zeal' all services between London and Paris are experiencing significant delays on Wednesday morning. The following services have been cancelled today; 9019 (10:06 Paris Gare du Nord to London St Pancras), 9039 (15:03 Paris Gare du Nord to Ebbsfleet International and London St Pancras), 9059 (20:07 Paris Gare du Nord to Ashford International and London St Pancras), 9063 (21:03 from Paris Gare du Nord to Ebbsfleet International and London St Pancras) and 9050 (19:01 from London St Pancras to Paris Gare du Nord). Tickets can be rearranged to a later date or a refund can be requested.","Train Delays / Disruption, Miscellaneous Strikes",Worker Strike,False,"[""labor_strike_disruption""]",[],3,"[{""rule_id"": ""strike"", ""label"": ""strike action"", ""match"": ""strikes"", ""weight"": 3, ""span"": [157, 164]}]",[],"{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": []}",rejected: evidence found but required context missing
development,478,3038,port_closure,false_positive,complete,Vessels’ waiting time about 0.5 days at Port of Qingdao,"Shipping sources on April 29 indicate that congestion issues at the Port of Qingdao currently stands at 0.5 days. Moreover, low visibility is expected from April 29 midnight to April 30 midnight local time with a moderate risk of port closure.",Port Disruption,Administrative Issue,False,"[""port_operational_disruption""]","[""port_operational_disruption"", ""port_closure""]",4,"[{""rule_id"": ""context_then_close"", ""label"": ""maritime facility closure"", ""match"": ""port closure"", ""weight"": 3, ""span"": [284, 296]}]",[],"{""text_context"": 1, ""maritime_metadata"": 0, ""context_matches"": [""vessels""]}",predicted: score 4 >= 4 with required context satisfied
development,2484,5474,weather_disruption,false_positive,complete,Strong winds may disrupt operations at the Port of Osaka on October 9-10,"Shipping sources report on October 8 that strong winds are forecast at the Port of Osaka, Japan, that could cause the port to shut down from the morning of October 9 to the evening of October 10.",Port Closure,Weather,False,"[""port_closure""]","[""weather_disruption"", ""port_closure""]",4,"[{""rule_id"": ""severe_wind"", ""label"": ""severe/strong/high wind"", ""match"": ""strong winds"", ""weight"": 3, ""span"": [0, 12]}]","[{""rule_id"": ""wind"", ""label"": ""wind"", ""match"": ""winds"", ""weight"": 1, ""span"": [122, 127]}]","{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": []}",predicted: score 4 >= 3 with required context satisfied
development,2470,4789,port_operational_disruption,false_negative,complete,UPDATE 5 - Delays at Port of Tanjung Pelepas continue to decrease,"Updated shipping sources report on July 28 that delays at the Port of Tanjung Pelepas have further decreased, with vessels currently facing a 4-hour delay upon arrival and a 3-hour delay upon departure at the port.",Port Congestion,Administrative Issue,True,"[""port_operational_disruption""]",[],2,[],"[{""rule_id"": ""delay"", ""label"": ""delay"", ""match"": ""delays"", ""weight"": 1, ""span"": [9, 15]}]","{""text_context"": 1, ""maritime_metadata"": 0, ""context_matches"": [""port""]}",rejected: score 2 < 4
development,1340,2354,weather_disruption,false_positive,complete,Strong winds likely to disrupt operations at Port of Yantian,Shipping sources report on November 20 that operations at the Port of Yantian are likely to be disrupted from strong winds.,Port Disruption,Weather,False,"[""port_operational_disruption""]","[""weather_disruption""]",4,"[{""rule_id"": ""severe_wind"", ""label"": ""severe/strong/high wind"", ""match"": ""strong winds"", ""weight"": 3, ""span"": [0, 12]}]","[{""rule_id"": ""wind"", ""label"": ""wind"", ""match"": ""winds"", ""weight"": 1, ""span"": [178, 183]}]","{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": []}",predicted: score 4 >= 3 with required context satisfied
development,1340,2354,port_operational_disruption,false_negative,complete,Strong winds likely to disrupt operations at Port of Yantian,Shipping sources report on November 20 that operations at the Port of Yantian are likely to be disrupted from strong winds.,Port Disruption,Weather,False,"[""port_operational_disruption""]","[""weather_disruption""]",0,[],[],"{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": [""port""]}",rejected: no rule evidence
development,1731,3288,port_operational_disruption,false_positive,complete,Cargo operations suspended at Port of Dalian due to dense fog,Local sources on February 11 indicate that pilotage and cargo operations have been suspended at Port of Dalian from 01:00 local time on February 10 due to dense fog. No timeline as to when the weather conditions would improve was initially provided. Customers can expect increased waiting times and delays.,Port Closure,Weather,False,"[""port_closure""]","[""port_operational_disruption"", ""port_closure""]",5,"[{""rule_id"": ""waiting_time"", ""label"": ""vessel/berth waiting time"", ""match"": ""waiting times"", ""weight"": 3, ""span"": [341, 354]}]","[{""rule_id"": ""delay"", ""label"": ""delay"", ""match"": ""delays"", ""weight"": 1, ""span"": [359, 365]}]","{""text_context"": 1, ""maritime_metadata"": 0, ""context_matches"": [""cargo""]}",predicted: score 5 >= 4 with required context satisfied
development,1317,185,port_operational_disruption,false_negative,complete,Container ship attacked by criminals in Port of Santos,"On December 3, industry sources report that Hamburg Sud container ship Cap San Marco has been boarded by 5 armed criminals on December 2 while waiting for a berth in the Port of Santos, Brazil. After about 45 minutes, the attackers fled and police started to inspect the ship at berth. About 402 kg of cocaine were found hidden in one container, which was likely loaded on the previous call at the Port of Paranagua. Shipping delays are likely as investigations continue.","Piracy,Port Disruption",Terrorism,True,"[""port_operational_disruption"", ""maritime_security_navigation_disruption""]","[""maritime_security_navigation_disruption""]",2,[],"[{""rule_id"": ""delay"", ""label"": ""delay"", ""match"": ""delays"", ""weight"": 1, ""span"": [474, 480]}]","{""text_context"": 1, ""maritime_metadata"": 0, ""context_matches"": [""container""]}",rejected: score 2 < 4
development,2303,5644,weather_disruption,false_positive,complete,UPDATE 1 - Strong winds likely to impact Port of Ningbo operations on October 22 and 23,Updated shipping sources on October 21 indicate that strong wind is forecast in the area of Port of Ningbo on October 22. Previous sources on October 19 reported that inclement weather is expected on October 23. There is a medium risk of port closure at the times.,Port Disruption,Weather,False,"[""port_operational_disruption""]","[""weather_disruption"", ""port_closure""]",7,"[{""rule_id"": ""severe_wind"", ""label"": ""severe/strong/high wind"", ""match"": ""strong winds"", ""weight"": 3, ""span"": [9, 21]}, {""rule_id"": ""severe_weather"", ""label"": ""severe/bad weather"", ""match"": ""inclement weather"", ""weight"": 3, ""span"": [252, 269]}]","[{""rule_id"": ""wind"", ""label"": ""wind"", ""match"": ""wind"", ""weight"": 1, ""span"": [146, 150]}]","{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": []}",predicted: score 7 >= 3 with required context satisfied
development,2303,5644,port_operational_disruption,false_negative,complete,UPDATE 1 - Strong winds likely to impact Port of Ningbo operations on October 22 and 23,Updated shipping sources on October 21 indicate that strong wind is forecast in the area of Port of Ningbo on October 22. Previous sources on October 19 reported that inclement weather is expected on October 23. There is a medium risk of port closure at the times.,Port Disruption,Weather,False,"[""port_operational_disruption""]","[""weather_disruption"", ""port_closure""]",0,[],[],"{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": [""port""]}",rejected: no rule evidence
development,2303,5644,port_closure,false_positive,complete,UPDATE 1 - Strong winds likely to impact Port of Ningbo operations on October 22 and 23,Updated shipping sources on October 21 indicate that strong wind is forecast in the area of Port of Ningbo on October 22. Previous sources on October 19 reported that inclement weather is expected on October 23. There is a medium risk of port closure at the times.,Port Disruption,Weather,False,"[""port_operational_disruption""]","[""weather_disruption"", ""port_closure""]",4,"[{""rule_id"": ""context_then_close"", ""label"": ""maritime facility closure"", ""match"": ""port closure"", ""weight"": 3, ""span"": [322, 334]}]",[],"{""text_context"": 1, ""maritime_metadata"": 0, ""context_matches"": [""port""]}",predicted: score 4 >= 4 with required context satisfied
development,2230,1081,port_operational_disruption,false_negative,complete,Access channel at Port of Charleston closes due to fog,Shipping sources indicate on December 10 that fog has led to the closure of the access channel at the Port of Charleston. No timeline has been given as to when the channel is expected to reopen.,Port Disruption,Weather,False,"[""port_operational_disruption""]","[""port_closure""]",0,[],[],"{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": [""port""]}",rejected: no rule evidence
development,2230,1081,port_closure,false_positive,complete,Access channel at Port of Charleston closes due to fog,Shipping sources indicate on December 10 that fog has led to the closure of the access channel at the Port of Charleston. No timeline has been given as to when the channel is expected to reopen.,Port Disruption,Weather,False,"[""port_operational_disruption""]","[""port_closure""]",7,"[{""rule_id"": ""context_then_close"", ""label"": ""maritime facility closure"", ""match"": ""channel at port of charleston closes"", ""weight"": 3, ""span"": [7, 43]}, {""rule_id"": ""close_then_context"", ""label"": ""closure of maritime facility"", ""match"": ""closure of the access channel at the port"", ""weight"": 3, ""span"": [120, 161]}]",[],"{""text_context"": 1, ""maritime_metadata"": 0, ""context_matches"": [""channel"", ""port""]}",predicted: score 7 >= 4 with required context satisfied
development,141,3159,maritime_security_navigation_disruption,false_negative,complete,Alexandria port's containers terminal authority increased fees to handle 'danger,"Alexandria port's containers terminal authority increased fees to handle 'dangerous material' by 100% starting from 8 September, following the 4 August Beirut port explosion due to ammonium nitrate.","Miscellaneous Events, Political Info / Event, Maritime Advisory",Administrative Issue,True,"[""maritime_security_navigation_disruption""]",[],0,[],[],"{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": [""port""]}",rejected: no rule evidence
development,2309,4997,weather_disruption,false_positive,complete,Bad weather and IT issues cause disruption at London Gateway Port,Shipping sources on October 2 report that bad weather and IT issues have caused disruption at London Gateway Port. Operation stack is currently in place. Berthing congestion has also previously been reported.,Port Disruption,Weather,False,"[""port_operational_disruption""]","[""weather_disruption"", ""port_operational_disruption""]",4,"[{""rule_id"": ""severe_weather"", ""label"": ""severe/bad weather"", ""match"": ""bad weather"", ""weight"": 3, ""span"": [0, 11]}]","[{""rule_id"": ""weather"", ""label"": ""weather"", ""match"": ""weather"", ""weight"": 1, ""span"": [112, 119]}]","{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": []}",predicted: score 4 >= 3 with required context satisfied
development,354,5345,port_operational_disruption,false_negative,complete,Port of Dover suspends traffic to France from Dec 21-23 due to surge in COVID-19 cases in England - UPDATE 1,"Updated media sources report on December 21 that the port of Dover has close all truck movements from the United Kingdom (UK) to France for the next 48 hours, effectively from 00:01 local time on December 21 amid the spike in the spread of COVID-19 virus in London and southeast England. At the time of writing, the UK government is planning to discuss emergency measures in the coming hours. Reports suggested that freight coming to the UK from France will still be allowed. Details are still emerging.","Port Disruption, Cargo Disruption",Administrative Issue,False,"[""port_operational_disruption""]","[""port_closure""]",0,[],[],"{""text_context"": 0, ""maritime_metadata"": 0, ""context_matches"": [""port""]}",rejected: no rule evidence
development,354,5345,port_closure,false_positive,complete,Port of Dover suspends traffic to France from Dec 21-23 due to surge in COVID-19 cases in England - UPDATE 1,"Updated media sources report on December 21 that the port of Dover has close all truck movements from the United Kingdom (UK) to France for the next 48 hours, effectively from 00:01 local time on December 21 amid the spike in the spread of COVID-19 virus in London and southeast England. At the time of writing, the UK government is planning to discuss emergency measures in the coming hours. Reports suggested that freight coming to the UK from France will still be allowed. Details are still emerging.","Port Disruption, Cargo Disruption",Administrative Issue,False,"[""port_operational_disruption""]","[""port_closure""]",4,"[{""rule_id"": ""context_then_close"", ""label"": ""maritime facility closure"", ""match"": ""port of dover suspends"", ""weight"": 3, ""span"": [0, 22]}]",[],"{""text_context"": 1, ""maritime_metadata"": 0, ""context_matches"": [""port""]}",predicted: score 4 >= 4 with required context satisfied
development,2816,3134,port_operational_disruption,false_negative,complete,4 container ships seized in Hong Kong after positive COVID-19 test of crew,"On July 24, media sources reported that four container ships were seized by authorities at Hong Kong Anchorage after crew members tested positive for COVID-19. The seized container ships are the following: 
Container ship ROSA, IMO 9484534, dwt 54339, capacity 4380 TEU – confirmed;
Container ship MSC KERRY, IMO 9062960, dwt 45530, capacity 3501 TEU – confirmed;
Container ship VANTAGE, IMO 9628192, dwt 110875, capacity 8800 TEU – confirmed;
Container ship CMA CGM ROSSINI, IMO 9280639, dwt 73235, capacity 5770 TEU – confirmed.","Maritime Advisory, Cargo Disruption",Administrative Issue,True,"[""port_operational_disruption"", ""maritime_security_navigation_disruption""]",[],2,[],"[{""rule_id"": ""capacity"", ""label"": ""capacity"", ""match"": ""capacity"", ""weight"": 1, ""span"": [320, 328]}]","{""text_context"": 1, ""maritime_metadata"": 0, ""context_matches"": [""container""]}",rejected: score 2 < 4
